date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,avg_temp_low,avg_temp_high,y1,y2
3/2/20,Florida,2,0,0,0,21477737,215,0,0,1,1,0,0,46,79,,
3/9/20,Florida,14,2,0.1,0,21477737,215,12,2,1,1,0,0,50,75,,
3/16/20,Florida,141,4,0.7,0,21477737,215,127,2,1,1,1,1,64,73,,
3/23/20,Florida,1222,18,5.7,0.1,21477737,215,1081,14,1,1,1,1,66,86,,
3/30/20,Florida,5694,71,26.5,0.3,21477737,215,4472,53,1,1,1,1,65,89,,
4/6/20,Florida,13621,253,63.4,1.2,21477737,215,7927,182,1,1,1,1,56,80,,
4/13/20,Florida,21011,498,97.8,2.3,21477737,215,7390,245,1,1,1,1,67,82,,
4/20/20,Florida,27050,822,125.9,3.8,21477737,215,6039,324,1,1,1,1,65,82,,
4/27/20,Florida,32130,1087,149.6,5.1,21477737,215,5080,265,1,1,1,1,55,77,,
5/4/20,Florida,36889,1398,171.8,6.5,21477737,215,4759,311,1,1,1,1,61,90,,
