date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,avg_temp_low,avg_temp_high,y1,y2
3/2/20,Rhode Island,2,0,0.2,0,1059361,11,0,0,0,0,0,0,,,,
3/9/20,Rhode Island,3,0,0.3,0,1059361,11,1,0,0,0,0,0,,,,
3/16/20,Rhode Island,21,0,2,0,1059361,11,18,0,1,0,1,0,,,,
3/23/20,Rhode Island,106,0,10,0,1059361,11,85,0,1,0,1,0,,,,
3/30/20,Rhode Island,408,4,38.5,0.4,1059361,11,302,4,1,0,1,0,,,,
4/6/20,Rhode Island,1082,27,102.1,2.6,1059361,11,674,23,1,0,1,0,,,,
4/13/20,Rhode Island,2976,73,280.9,6.9,1059361,11,1894,46,1,0,1,0,,,,
4/20/20,Rhode Island,5090,155,480.5,14.6,1059361,11,2114,82,1,0,1,0,,,,
4/27/20,Rhode Island,7708,233,727.6,22,1059361,11,2618,78,1,0,1,0,,,,
5/4/20,Rhode Island,9652,341,911.1,32.2,1059361,11,1944,108,1,0,1,0,,,,
