date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,avg_temp_low,avg_temp_high,y1,y2
2/17/20,Texas,2,0,0,0,28995881,365,0,0,0,0,0,0,,,,
2/24/20,Texas,10,0,0,0,28995881,365,8,0,0,0,0,0,,,,
3/2/20,Texas,11,0,0,0,28995881,365,1,0,0,0,0,0,,,,
3/9/20,Texas,24,0,0.1,0,28995881,365,13,0,0,0,0,0,,,,
3/16/20,Texas,87,1,0.3,0,28995881,365,63,1,0,0,0,0,,,,
3/23/20,Texas,728,7,2.5,0,28995881,365,641,6,0,0,0,0,,,,
3/30/20,Texas,3036,46,10.5,0.2,28995881,365,2308,39,0,0,0,0,,,,
4/6/20,Texas,8104,159,28,0.6,28995881,365,5068,113,0,0,0,0,,,,
4/13/20,Texas,14487,320,50,1.1,28995881,365,6383,161,0,0,0,0,,,,
4/20/20,Texas,20035,523,69.1,1.8,28995881,365,5548,203,0,0,0,0,,,,
4/27/20,Texas,25963,699,89.5,2.4,28995881,365,5928,176,0,0,0,0,,,,
5/4/20,Texas,33134,914,114.3,3.2,28995881,365,7171,215,0,0,0,0,,,,
