date,state,cases,deaths,cases_per_capita,deaths_per_capita,population,hospitals,increase_cases,increase_deaths,bills_health,bills_econ,health_enacted,econ_enacted,avg_temp_low,avg_temp_high,y1,y2
2/10/20,Wisconsin,1,0,0,0,5822434,76,0,0,0,0,0,0,,,,
2/17/20,Wisconsin,1,0,0,0,5822434,76,0,0,0,0,0,0,,,,
2/24/20,Wisconsin,1,0,0,0,5822434,76,0,0,0,0,0,0,,,,
3/2/20,Wisconsin,1,0,0,0,5822434,76,0,0,0,0,0,0,,,,
3/9/20,Wisconsin,2,0,0,0,5822434,76,1,0,0,0,0,0,,,,
3/16/20,Wisconsin,47,0,0.8,0,5822434,76,45,0,0,0,0,0,,,,
3/23/20,Wisconsin,418,5,7.2,0.1,5822434,76,371,5,0,0,0,0,,,,
3/30/20,Wisconsin,1267,20,21.8,0.3,5822434,76,849,15,2,2,0,0,,,,
4/6/20,Wisconsin,2440,83,41.9,1.4,5822434,76,1173,63,2,2,0,0,,,,
4/13/20,Wisconsin,3428,155,58.9,2.7,5822434,76,988,72,3,3,0,0,,,,
4/20/20,Wisconsin,4499,231,77.3,4,5822434,76,1071,76,3,3,1,1,,,,
4/27/20,Wisconsin,6081,281,104.4,4.8,5822434,76,1582,50,3,3,1,1,,,,
5/4/20,Wisconsin,8236,340,141.5,5.8,5822434,76,2155,59,3,3,1,1,,,,
